83,8
34,2
18,1
49,7
64,6
64,1
49,7
44,2
72,2
49,2
89,0
9,8
60,6
25,4
64,0
40,2
96,1
71,2
98,1
87,4
40,1
19,1
75,1
38,8
24,5
20,1
6,8
13,4
98,6
41,6
8,9
23,7
1,0
49,6
34,0
67,2
97,1
11,2
21,7
1,4
68,1
60,0
34,6
31,0
39,1
33,3
99,7
20,7
98,2
41,6
44,6
59,5
23,6
9,3
32,2
19,1
32,8
19,8
23,0
78,4
53,1
94,3
62,1
64,4
24,8
38,0
59,0
91,8
57,8
50,3
47,7
17,9
95,2
35,4
17,4
0,3
20,6
49,1
58,8
57,5
76,4
24,8
92,2
86,5
78,9
48,5
15,2
10,5
57,5
40,8
30,5
8,6
49,6
98,7
14,3
98,2
79,1
69,2
11,6
75,3
83,7
80,4
64,6
45,7
25,2
58,1
28,8
32,4
55,3
15,3
11,6
87,0
17,2
47,9
42,2
29,8
34,9
81,2
4,2
2,2
2,9
78,9
74,9
14,3
95,9
54,4
7,9
89,4
60,0
97,8
66,1
55,8
82,5
20,2
18,3
57,5
51,4
21,4
57,5
86,6
37,7
12,8
49,1
33,4
54,1
94,4
32,3
56,9
15,5
48,2
83,7
28,4
52,1
69,3
70,1
5,5
39,0
49,6
53,0
74,1
82,4
76,1
51,1
45,7
9,5
66,5
96,5
50,2
0,7
35,6
31,4
1,3
56,2
84,3
67,6
58,8
0,9
44,4
87,7
48,9
21,5
78,5
34,1
91,0
20,0
18,2
29,5
47,4
67,4
73,5
39,3
60,7
37,4
33,9
24,5
33,6
32,3
4,0
70,5
12,2
61,2
32,1
45,5
77,7
27,1
49,1
27,6
18,2
2,4
48,1
40,4
57,5
90,7
10,2
57,9
86,6
16,4
7,8
70,8
80,5
84,6
65,6
30,1
43,5
81,6
93,8
16,9
88,1
2,8
9,4
67,5
17,4
90,1
65,9
6,7
7,4
31,8
8,3
31,3
45,8
2,7
68,7
35,6
0,4
80,7
14,9
88,0
47,7
44,3
12,8
6,2
39,4
54,8
91,0
85,8
78,1
16,7
9,5
41,1
0,9
24,0
70,3
0,9
32,4
79,2
88,2
80,8
84,8
48,4
4,9
24,4
78,2
55,5
96,7
94,7
2,7
18,5
65,5
78,2
74,4
80,6
85,8
62,9
3,4
97,7
17,7
94,5
45,3
0,1
0,6
18,4
82,1
51,2
39,9
8,5
62,2
30,8
92,4
28,1
62,3
87,3
86,8
5,6
67,0
86,1
77,6
41,9
39,0
6,8
71,9
94,4
18,4
68,2
18,6
10,1
31,8
98,2
29,1
34,2
74,4
50,2
65,4
25,2
85,4
68,7
15,2
70,2
93,1
21,9
51,2
60,5
98,0
8,3
91,4
68,1
6,0
66,2
83,7
67,7
52,9
14,4
27,8
94,4
82,3
76,6
22,0
56,2
80,2
61,0
61,0
98,2
43,6
32,5
97,1
6,2
53,6
55,4
53,0
45,3
68,5
82,7
35,8
85,0
96,3
90,1
50,7
3,9
24,7
71,6
47,2
45,6
32,5
55,9
0,0
8,6
3,8
36,4
59,3
82,6
35,8
28,2
92,2
97,0
86,6
64,7
42,7
4,8
5,5
2,0
26,7
41,9
56,7
59,2
24,6
57,3
52,6
33,1
46,4
54,9
12,6
83,3
74,5
81,8
91,3
19,6
23,7
31,5
92,8
29,5
60,2
27,4
83,5
39,7
50,3
68,3
39,5
32,0
84,5
92,4
26,9
46,4
71,6
15,7
79,9
4,3
25,8
91,7
84,8
88,1
53,6
85,7
18,3
93,4
7,7
23,9
1,3
10,8
98,0
21,5
17,7
0,7
5,8
28,5
33,7
36,9
64,9
78,4
27,8
38,3
36,9
35,5
39,5
53,3
88,2
37,9
77,9
84,3
95,7
46,3
77,0
50,1
77,0
43,6
3,3
70,3
78,1
82,3
19,1
15,2
14,1
98,9
41,8
31,2
70,0
35,8
4,1
93,0
17,1
48,5
40,0
49,9
48,3
29,1
23,6
32,8
74,1
6,7
97,4
13,4
49,8
97,5
51,3
53,4
